Símbolo;RazaoSocial;Nome;Codigo
AIRB34.SA;Airbnb, Inc.;Airbnb;AIRB34
AMZO34.SA;Amazon.com, Inc.;Amazon;AMZO34
ABEV3.SA;Ambev S.A.;Ambev;ABEV3
AALL34.SA;American Airlines Group Inc.;American Airlines;AALL34
AMER3.SA;Americanas S.A.;Americanas;AMER3
AAPL34.SA;Apple Inc.;Apple;AAPL34
ARZZ3.SA;Arezzo Indústria e Comércio S.A.;Arezzo;ARZZ3
AZUL4.SA;Azul S.A.;Azul;AZUL4
B3SA3.SA;B3 S.A. - Brasil, Bolsa, Balcão;B3;B3SA3
BBDC3.SA;Banco Bradesco S.A.;Bradesco 3;BBDC3
BBDC4.SA;Banco Bradesco S.A.;Bradesco 4;BBDC4
BBAS3.SA;Banco do Brasil S.A.;Banco do Brasil;BBAS3
BIDI3.SA;Banco Inter S.A.;Banco Inter 3;BIDI3
BIDI4.SA;Banco Inter S.A.;Banco Inter 4;BIDI4
BPAN4.SA;Banco Pan S.A.;Pan;BPAN4
SANB4.SA;Banco Santander (Brasil) S.A.;Santanter 4;SANB4
SANB3.SA;Banco Santander (Brasil) S.A.;Santander 3;SANB3
CEAB3.SA;C&A Modas S.A.;C&A;CEAB3
CAML3.SA;Camil Alimentos S.A.;Camil;CAML3
CCRO3.SA;CCR S.A.;CCR;CCRO3
CIEL3.SA;Cielo S.A.;Cielo;CIEL3
C2CA34.SA;Coca-Cola FEMSA, S.A.B. de C.V.;Coca-Cola Mexico;C2CA34
TEND3.SA;Construtora Tenda S.A.;Tenda;TEND3
CVCB3.SA;CVC Brasil Operadora e Agência de Viagens S.A.;CVC;CVCB3
D1EL34.SA;Dell Technologies Inc.;Dell;D1EL34
DEAI34.SA;Delta Air Lines, Inc.;Delta Airlines;DEAI34
D2PZ34.SA;Domino's Pizza, Inc.;Domino's Pizza;D2PZ34
EBAY34.SA;eBay Inc.;eBay;EBAY34
ECOR3.SA;EcoRodovias Infraestrutura e Logística S.A.;Eco Rodovias;ECOR3
EAIN34.SA;Electronic Arts Inc.;EA;EAIN34
EMBR3.SA;Embraer S.A.;Embraer;EMBR3
PGMN3.SA;Empreendimentos Pague Menos S.A.;Pague Menos;PGMN3
FLRY3.SA;Fleury S.A.;Fleury;FLRY3
FDMO34.SA;Ford Motor Company;Ford;FDMO34
GMCO34.SA;General Motors Company;GM;GMCO34
GETT3.SA;Getnet Adquirência e Serviços para Meios de Pagamento S.A.;Getnet 3;GETT3
GETT4.SA;Getnet Adquirência e Serviços para Meios de Pagamento S.A.;Getnet 4;GETT4
G2DD34.SA;GoDaddy Inc.;GoDaddy;G2DD34
GOLL4.SA;Gol Linhas Aéreas Inteligentes S.A.;Gol;GOLL4
HOND34.SA;HONDA MO DRN;Honda;HOND34
HPQB34.SA;HP Inc.;HP;HPQB34
ITUB3.SA;Itaú Unibanco Holding S.A.;Itaú 3;ITUB3
ITUB4.SA;Itaú Unibanco Holding S.A.;Itaú 4;ITUB4
ITSA4.SA;Itaúsa - Investimentos Itaú SA;Itaúsa 4;ITSA4
ITSA3.SA;Itaúsa - Investimentos Itaú SA;Itaúsa 3;ITSA3
JHSF3.SA;JHSF Participações S.A.;JHSF;JHSF3
KEPL3.SA;Kepler Weber S.A.;Kepler;KEPL3
KLBN3.SA;Klabin S.A.;Klabin 3;KLBN3
KLBN4.SA;Klabin S.A.;Klabin 4;KLBN4
RENT3.SA;Localiza Rent a Car S.A.;Localiza;RENT3
LWSA3.SA;Locaweb Serviços de Internet S.A.;Locaweb;LWSA3
LREN3.SA;Lojas Renner S.A.;Renner;LREN3
MGLU3.SA;Magazine Luiza S.A.;Magalu;MGLU3
LEVE3.SA;MAHLE Metal Leve S.A.;Mahle;LEVE3
AMAR3.SA;Marisa Lojas S.A.;Marisa;AMAR3
M2RV34.SA;Marvell Technology, Inc.;Marvell;M2RV34
MSCD34.SA;Mastercard Incorporated;Mastercard;MSCD34
MCDC34.SA;McDonald's Corporation;McDonald;MCDC34
CASH3.SA;Méliuz S.A.;Méliuz;CASH3
MELI34.SA;MercadoLibre, Inc.;Mercado Livre;MELI34
MSFT34.SA;Microsoft Corporation;Microsoft;MSFT34
